time,seconds_elapsed,z,y,x
1675434277932924700,0.262924560546875,0.09937572479248047,0.09191513061523438,0.12041264772415161
1675434277942812200,0.272812255859375,0.12967300415039062,0.03788471221923828,0.08237606287002563
1675434277952700000,0.282699951171875,0.10543537139892578,0.029244422912597656,0.052131712436676025
1675434277962618000,0.2926181640625,0.04578399658203125,0.009407997131347656,-0.027395546436309814
1675434277972505900,0.302505859375,0.03190183639526367,-0.022077560424804688,-0.04656827449798584
1675434277982393600,0.3123935546875,0.032668113708496094,-0.013683319091796875,-0.03541445732116699
1675434277992281300,0.32228125,0.05373096466064453,0.05214214324951172,0.0519755482673645
1675434278002168800,0.3321689453125,0.09843730926513672,0.15224838256835938,0.15664410591125488
1675434278012056600,0.342056640625,0.09264898300170898,0.12755584716796875,0.12988048791885376
1675434278021944300,0.3519443359375,0.008916378021240234,0.04339885711669922,0.10922342538833618
1675434278031832000,0.36183203125,-0.0031714439392089844,-0.03177165985107422,0.0586395263671875
1675434278041719800,0.3717197265625,-0.028518199920654297,-0.09975528717041016,-0.0915142297744751
1675434278051607300,0.381607177734375,-0.0577845573425293,-0.08473587036132812,-0.20907139778137207
1675434278061495000,0.3914951171875,-0.07256650924682617,-0.012194633483886719,-0.24412113428115845
1675434278071413200,0.401413330078125,-0.08133172988891602,0.020524024963378906,-0.1845635175704956
1675434278081301000,0.411301025390625,-0.12811279296875,0.033634185791015625,-0.03517115116119385
1675434278091188700,0.421188720703125,-0.0986328125,0.04913902282714844,0.0844995379447937
1675434278101076500,0.431076416015625,-0.03148651123046875,0.11657142639160156,0.12370038032531738
1675434278110964200,0.440964111328125,0.04616212844848633,0.12676334381103516,0.16885250806808472
1675434278120851700,0.450851806640625,0.03307008743286133,0.09310531616210938,0.18818318843841553
1675434278130739500,0.460739501953125,0.048300743103027344,0.074676513671875,0.20256203413009644
1675434278140627200,0.470627197265625,0.0851593017578125,0.022211074829101562,0.13523948192596436
1675434278150515000,0.480514892578125,0.14931201934814453,-0.0055999755859375,0.008108973503112793
1675434278160433200,0.49043310546875,0.08030128479003906,-0.014453887939453125,-0.11297249794006348
1675434278170321000,0.50032080078125,0.02910757064819336,-0.008271217346191406,-0.15560156106948853
1675434278180208400,0.51020849609375,-0.0006418228149414062,-0.007061958312988281,-0.10488176345825195
1675434278190096100,0.52009619140625,0.004230022430419922,0.01846790313720703,-0.0178489089012146
1675434278199983900,0.52998388671875,0.03901243209838867,0.05736827850341797,0.04086947441101074
1675434278209871600,0.53987158203125,0.008698463439941406,0.06383705139160156,0.06835901737213135
1675434278219759400,0.54975927734375,-0.010538578033447266,0.06795215606689453,0.10429751873016357
1675434278229646800,0.559646728515625,0.04946279525756836,0.048974037170410156,0.16896593570709229
1675434278239534600,0.56953466796875,0.08640432357788086,0.03902626037597656,0.14518249034881592
1675434278249422300,0.57942236328125,0.11928129196166992,0.019906044006347656,0.08900344371795654
1675434278259340500,0.589340576171875,0.14534950256347656,0.02424907684326172,0.032905638217926025
1675434278269228300,0.599228271484375,0.17424821853637695,0.00463104248046875,0.007808387279510498
1675434278279116000,0.609115966796875,0.1531686782836914,-0.01613140106201172,0.009207725524902344
1675434278289003800,0.619003662109375,0.10982990264892578,-0.0016317367553710938,0.00839310884475708
1675434278298891300,0.628891357421875,0.09119987487792969,0.017126083374023438,-0.05428135395050049
1675434278308779000,0.638779052734375,0.11316299438476562,0.03295707702636719,-0.06548810005187988
1675434278318666800,0.648666748046875,0.08576822280883789,0.04476356506347656,-0.07270944118499756
1675434278328554500,0.658554443359375,0.036995887756347656,-0.017740249633789062,0.010953307151794434
1675434278338442200,0.668442138671875,0.05140113830566406,-0.06021404266357422,0.030797898769378662
1675434278348360400,0.6783603515625,0.006775856018066406,-0.08304691314697266,0.010621130466461182
1675434278358248000,0.688248046875,-0.0534052848815918,-0.04324531555175781,-0.060579657554626465
1675434278368135700,0.6981357421875,-0.08185815811157227,0.0028076171875,-0.0892900824546814
1675434278378023400,0.7080234375,-0.08311033248901367,0.0046710968017578125,-0.02393549680709839
1675434278387911200,0.7179111328125,-0.0782470703125,0.023372650146484375,0.04784893989562988
1675434278397799000,0.727798828125,-0.09782981872558594,0.03155803680419922,0.04856902360916138
1675434278407686400,0.737686279296875,-0.08730697631835938,0.023557662963867188,0.08958673477172852
1675434278417574100,0.74757421875,-0.07631874084472656,0.034811973571777344,0.1082068681716919
1675434278427462000,0.7574619140625,-0.07913541793823242,0.013299942016601562,0.11062884330749512
1675434278437349600,0.767349609375,-0.03847455978393555,0.018121719360351562,0.07911962270736694
1675434278447267800,0.777267822265625,-0.005906105041503906,0.032469749450683594,0.04720628261566162
1675434278457155600,0.787155517578125,-0.013008594512939453,0.03730487823486328,0.010112106800079346
1675434278467043300,0.797043212890625,0.018863677978515625,0.037375450134277344,-0.010933399200439453
1675434278476930800,0.806930908203125,0.09121179580688477,0.042217254638671875,-0.033070385456085205
1675434278486818600,0.816818603515625,0.060193538665771484,0.004452705383300781,-0.05181229114532471
1675434278496706300,0.826706298828125,0.09821271896362305,-0.0022192001342773438,-0.04595988988876343
1675434278506594000,0.836593994140625,0.11003303527832031,0.0016269683837890625,-0.030996382236480713
1675434278516481800,0.846481689453125,0.07890844345092773,0.0026502609252929688,-0.0386965274810791
1675434278526369300,0.856369384765625,0.045131683349609375,0.010531425476074219,-0.01669895648956299
1675434278536257000,0.866257080078125,-0.003760814666748047,0.0290679931640625,0.008282244205474854
1675434278546175200,0.87617529296875,-0.01836252212524414,0.00640106201171875,0.026396512985229492
